awards,name,station,genre,pr,dinner_budget,lunch_budget,rating,holiday,url,reserve_status,reserve_method,transportation,opening_time,extra_holiday_info,payment_methods,geo_coordinates,telephone,address,num_review,type,visited,latitude,longitude,broad_genre
The Tabelog Award 2024 Silver 受賞店,かぶと,池袋駅 462m , うなぎ,,"￥15,000～￥19,999","￥15,000～￥19,999",4.43,-,https://tabelog.com/tokyo/A1305/A130501/13016660/,完全予約制,,池袋駅西口を出て劇場通りを川越街道方面に進み郵便局を目指す。最初の道を左折しすぐ右手。 池袋駅から462m,,,カード不可 電子マネー不可 QRコード決済不可,"35.73375503866438,139.7090324849552",03-3983-8608,東京都豊島区池袋2-53-2 池袋ESビル 1F,1120,unagi,False,35.73375503866438,139.7090324849552,unagi
The Tabelog Award 2024 Bronze 受賞店,うなぎ 魚政,四ツ木駅 61m , うなぎ,紀州備長炭を使い、うなぎの旨みを逃がさず香ばしく焼き上げます。店主が吟味した鰻を是非どうぞ,"￥10,000～￥14,999","￥10,000～￥14,999",4.26,火曜日、水曜日,https://tabelog.com/tokyo/A1324/A132403/13035339/,完全予約制,※ご予約はweb予約のみとなり、お電話での予約は受け付けておりません。詳しくは公式ホームページをご覧下さい。(web予約が出来ないお客様は13:30又は20:00にご来店頂き、お代金を現金でお預かりさせて頂くご予約方法も御座います) ,京成押上線「四ツ木駅」下車　徒歩1分 四ツ木駅から61m,11:30 - 14:00L.O. 料理12:30 ドリンク13:00,■※ディナーの部の御飲食時間はご予約時間より2時間を目安とさせて頂いております。,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"35.732086253470854,139.83555483502838",03-3695-5222,東京都葛飾区東四ツ木4-14-4 ,907,unagi,False,35.732086253470854,139.83555483502838,unagi
The Tabelog Award 2024 Bronze 受賞店,活鰻の店 つぐみ庵,駒込駅 478m , うなぎ、焼き鳥,,"￥15,000～￥19,999","￥15,000～￥19,999",4.25,月曜日,https://tabelog.com/tokyo/A1323/A132301/13080463/,完全予約制,,JR 駒込駅東口　徒歩7分 駒込駅から478m,12:00 - 14:00,■ 定休日月に1度日曜日休日（不定）,カード不可 電子マネー不可 QRコード決済不可,"35.73790863867566,139.75274888496654",03-3823-4591,東京都北区中里1-29-1 ,197,unagi,False,35.73790863867566,139.75274888496654,unagi
食べログ うなぎ 百名店 2024 選出店,参宮橋 あさや,参宮橋駅 39m , うなぎ,,"￥30,000～￥39,999","￥30,000～￥39,999",3.89,-,https://tabelog.com/tokyo/A1318/A131810/13289291/,予約可,,参宮橋駅徒歩1分 参宮橋駅から39m,,,カード可 電子マネー可 QRコード決済不可,"35.67851603869447,139.69334828440824",不明の為情報お待ちしております,東京都渋谷区代々木4-6-5 A&U 1F,124,unagi,False,35.67851603869447,139.69334828440824,unagi
食べログ うなぎ 百名店 2024 選出店,鰻家,東長崎駅 243m , うなぎ,,"￥6,000～￥7,999","￥6,000～￥7,999",3.88,金曜日,https://tabelog.com/tokyo/A1321/A132101/13012445/,予約可,,西武池袋線「東長崎駅」南口から徒歩４分。都営地下鉄大江戸線　落合南長崎駅（Ａ２出口）から徒歩10分 東長崎駅から243m,11:30 - 20:30L.O. 20:00,2024年11月1日より定休日毎週木・金曜日2024年12月1日より営業時間11：30～14:30 (L.O 14:00)17:00～ 20:30 (L.O 20:00),カード不可 電子マネー不可 QRコード決済不可,"35.72805533865948,139.68226278491642",03-3953-0049,東京都豊島区南長崎5-18-17 ,866,unagi,False,35.72805533865948,139.68226278491642,unagi
食べログ うなぎ 百名店 2024 選出店,わたべ,春日駅 251m , うなぎ、海鮮、日本料理,,"￥6,000～￥7,999","￥6,000～￥7,999",3.84,水曜日、木曜日,https://tabelog.com/tokyo/A1310/A131003/13042184/,予約可,夜のご予約の際、うなぎを蒸してから焼いておりますので、少々お時間がかかります。お急ぎの方はご予約の際にうなぎの注文も併せてご予約ください。,都営三田線「春日駅」Ａ５出口より徒歩1分都営地下鉄大江戸線「春日駅」Ａ５出口より徒歩１分東京メトロ南北線「後楽園」８番出口より徒歩３分東京メトロ丸の内線「後楽園」駅徒歩５分 春日駅から251m,,,カード可 （VISA、Master） 電子マネー不可 QRコード決済可 （PayPay）,"35.71131903869233,139.7520742846984",03-3812-7448,東京都文京区小石川1-9-14 アトラスタワー小石川 1Ｆ,453,unagi,False,35.71131903869233,139.7520742846984,unagi
食べログ うなぎ 百名店 2024 選出店,うなぎ時任,麻布十番駅 248m , うなぎ、日本料理、フレンチ,世界初のうなぎフレンチ割烹『温故知新を大切に、時流に合わせたNEW STANDARD』,"￥15,000～￥19,999","￥15,000～￥19,999",3.83,,https://tabelog.com/tokyo/A1307/A130702/13224663/,予約可,"アレルギーや苦手な食材は予めお申し付けください。コースは、一斉スタートになりますのでお時間の厳守をお願いします。キャンセルは、３日前よりお料理代金の100％頂戴いたします。お席のみのご予約でも、キャンセル料を頂戴しております（お一人様5,000円）。",都営大江戸線/東京メトロ南北線「麻布十番駅」4番出口　徒歩7分 麻布十番駅から248m,18:00 - 20:30,■ 営業時間[月]・ディナー 　20:30完全閉店[火～土]・ランチ　　鰻重は売切れ次第終了・ディナー　20:30完全閉店*ランチ、ディナーともにコース一斉スタートになります■ 定休日土用の丑の日,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"35.656229238721345,139.7333145841551",03-6812-9671,東京都港区麻布十番2-5-11 AZABUMAISON201,427,unagi,False,35.656229238721345,139.7333145841551,unagi
食べログ うなぎ 百名店 2024 選出店,尾花,南千住駅 332m , うなぎ,本物に拘った正統派うな重,"￥10,000～￥14,999","￥10,000～￥14,999",3.78,月曜日、火曜日,https://tabelog.com/tokyo/A1324/A132401/13003509/,予約不可,,JR常磐線・東京メトロ日比谷線・TX「南千住駅」徒歩4～5分 南千住駅から332m,11:30 - 13:30,■ 営業時間2016年4月1日より、土・日・祝日の営業時間変更いずれもウナギがなくなり次第終了■ 定休日2023年5月10日〜15日 臨時休業,カード不可 電子マネー不可 QRコード決済不可,"35.73162833869371,139.79689108487213",03-3801-4670,東京都荒川区南千住5-33-1 ,1435,unagi,False,35.73162833869371,139.79689108487213,unagi
食べログ うなぎ 百名店 2024 選出店,入谷鬼子母神門前のだや,入谷駅 156m , うなぎ、海鮮、日本料理,創業明治元年の調理士会直営店です! 鰻料理人総本家の当主が魅せます『匠の技』をご賞味下さい!,"￥10,000～￥14,999","￥10,000～￥14,999",3.77,,https://tabelog.com/tokyo/A1311/A131104/13152282/,予約可,〇下記①~⑤は「席のみ予約のお客様」への注意事項です①ご予約来店のお客様のサービス品のご注文は承れません。②お客様の人数がお揃いになりませんと、うな重の注文は承れません。(飲み物や一品料理は可)③お席がご用意出き次第のご案内とさせて頂きますので、お待ちいただく場合がございます。④お席のみ予約の方は、コースのご注文は出来ません。⑤2階席は階段での昇り降りとなります、ご注意下さい。,東京メトロ日比谷線「入谷駅」2番出口出て右折2ブロック（徒歩30秒）JR「鶯谷駅」南口徒歩5分言問通り沿い入谷鬼子母神様門前 入谷駅から156m,11:00 - 14:00,■ 営業時間※売切仕舞いもございます※当店は活鰻調理の鮮度を重視して産地直送していますので、“順次売切れ”の「うな重」が都度ございますのでお早めのご来店をお勧め致します。何卒、お客様皆様のご理解をお願い致します。■ 定休日毎週月曜日（祝祭日の場合、翌火曜日休みとなります。）また月に数回不定休日もございます。11月の休業日は11/5（火）11/11（月）11/18（月）11/25(月) です。お客様に措かれましてはご理解の程をお願い申し上げます。,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済可 （PayPay）,"35.720286638696514,139.78308288476725",03-3874-1855,東京都台東区下谷2-3-1 ,860,unagi,False,35.720286638696514,139.78308288476725,unagi
食べログ うなぎ 百名店 2024 選出店,鰻禅,本所吾妻橋駅 122m , うなぎ,鰻は注文を受けてから割く。ふっくらとした上品な味わいに、技とこだわりが凝縮された下町の名店,-,-,3.75,月曜日、木曜日,https://tabelog.com/tokyo/A1312/A131203/13058979/,予約不可,平日は予約可能（夏は不可の可能性あり）土日は予約不可,・東武伊勢崎線・東京メトロ銀座線「浅草駅」から徒歩7分・都営浅草線「本所吾妻橋駅」A4出口から徒歩1分、A5出口も可 本所吾妻橋駅から122m,11:00 - 16:00,■ 営業時間売り切れて店仕舞いになることあり■ 定休日月曜日・木曜日(月曜に限り、祝祭日の場合営業)■ 補足①：時間について入店後に調理のため（作り置きではないため）、席についてからも待ちます（30分以上？）。一度に調理できる数も限られているため、前の調理次第でさらに時間がかかることもあります。その分、新鮮で臭みもなく、ふわふわの鰻重を堪能できます。■ 補足②：開店前の並び方について開店前に並ぶ場合は、特に並び方にルールもなく、日によって異なります（前の人にそって並べばOKのよう）。並んでいると11時前くらいに女将さんが注文を取りにきます。■ 補足③：満席の場合についてお店で受付し、席の用意ができ次第、携帯に電話連絡するシステム。なお、海外の方は、席の用意ができそうな時間を伝え、その時間に戻ってきてもらうシステム。,カード不可 電子マネー不可 QRコード決済不可,"35.708882381244315,139.80573949064933",03-3624-0475,東京都墨田区吾妻橋3-6-18 ,824,unagi,False,35.708882381244315,139.80573949064933,unagi
食べログ うなぎ 百名店 2024 選出店,はし本,江戸川橋駅 284m , うなぎ、どじょう,,"￥6,000～￥7,999","￥6,000～￥7,999",3.75,木曜日,https://tabelog.com/tokyo/A1309/A130905/13018616/,予約可,,江戸川橋駅より徒歩3分。4番出口を右折し石切橋交差点(ローソン)を石切橋方向に行って橋を渡り川沿いの2軒目になります。 江戸川橋駅から284m,11:30 - 14:00,■ 営業時間最後の御注文は19:30,カード可 電子マネー可 QRコード決済不可,"35.709356638688575,139.73634488468963",03-3811-4850,東京都文京区水道2-5-7 ,687,unagi,False,35.709356638688575,139.73634488468963,unagi
食べログ うなぎ 百名店 2024 選出店,石ばし,江戸川橋駅 476m , うなぎ,,"￥20,000～￥29,999","￥20,000～￥29,999",3.75,月曜日、日曜日、祝日,https://tabelog.com/tokyo/A1309/A130905/13003531/,予約可,特になし,東京メトロ有楽町線 江戸川橋4番出口より飯田橋方面に進み3つ目の信号を左に入る 江戸川橋駅から476m,11:30 - 14:30L.O. 13:30,■ 定休日土用の丑の日,カード可 （AMEX） 電子マネー不可 QRコード決済不可,"35.709273138689305,139.73846808468727",03-3813-8038,東京都文京区水道2-4-29 ,585,unagi,False,35.709273138689305,139.73846808468727,unagi
食べログ うなぎ 百名店 2024 選出店,初小川,浅草（東武・都営・メトロ）駅 278m , うなぎ,,"￥4,000～￥4,999","￥4,000～￥4,999",3.75,-,https://tabelog.com/tokyo/A1311/A131102/13003702/,予約可,1ヶ月以上前の予約は取っていないそうなので、日付を確認してください。,都営浅草線浅草駅から徒歩５分 浅草駅（東武・都営・メトロ）から278m,,,カード不可 電子マネー不可 QRコード決済不可,"35.709755338706856,139.79452858465285",03-3844-2723,東京都台東区雷門2-8-4 ,570,unagi,False,35.709755338706856,139.79452858465285,unagi
食べログ 天ぷら 百名店 2023 選出店,天ぷら 福たろう,根津駅 242m , 天ぷら、日本料理、うなぎ,【根津駅3分】完全予約制◆確かな技が光る鮮度が自慢の「天ぷら」は、2種の油を使い分けご提供,"￥15,000～￥19,999","￥15,000～￥19,999",3.74,,https://tabelog.com/tokyo/A1311/A131106/13204299/,完全予約制,食べログでネット予約が出来ない場合は、ホームページからテーブルチェックで承れます。お電話でも承っております。キャンセルポリシー２日前より全額のキャンセル料がかかります,千代田線根津駅1番出口徒歩3分 根津駅から242m,,,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済可 （PayPay）,"35.71917163869218,139.7672452847671",03-5834-2955,東京都台東区谷中1-2-17 ,148,unagi,False,35.71917163869218,139.7672452847671,unagi
食べログ うなぎ 百名店 2024 選出店,五代目 野田岩 麻布飯倉本店,赤羽橋駅 349m , うなぎ、どじょう,,-,-,3.73,-,https://tabelog.com/tokyo/A1314/A131401/13002789/,予約可,※ご予約はお早めにお願いします。※2名様からご予約を承ります。（2名様のご予約は、別館のテーブル席のみとさせていただきます。）,地下鉄大江戸線赤羽橋駅、又は日比谷線神谷町駅より東京タワー方面へ徒歩5分 赤羽橋駅から349m,11:00 - 14:30,■ 定休日日曜日、月曜日不定休、土用の丑の日、夏期休暇,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"35.658122938723366,139.74337078416718",03-3583-7852,東京都港区東麻布1-5-4 ,1268,unagi,False,35.658122938723366,139.74337078416718,unagi
食べログ うなぎ 百名店 2024 選出店,日本橋いづもや,新日本橋駅 298m , うなぎ、日本料理、丼,,"￥15,000～￥19,999","￥15,000～￥19,999",3.73,日曜日、祝日,https://tabelog.com/tokyo/A1302/A130202/13011198/,予約可,お座敷をご利用の場合はお電話で事前にご予約ください。※仮予約は受け付けておりません。お日にち、ご人数様、お料理（コース等）がはっきり決まりました段階でご予約くださいますようお願い申し上げます。（これまでもお部屋を予約後、直前にキャンセルという事例が少なくありません。そのため本来でしたらお入りいただけるお客様を何度もお断りした経験がございます。ご理解ご協力を宜しくお願い致します。）,銀座線　三越前駅A８出口より徒歩３分。半蔵門線　三越前駅B１出口より徒歩３分。総武快速線　新日本橋駅２番出口より徒歩３分。JR山手線・中央線・京浜東北線　神田駅南口より徒歩７分。 新日本橋駅から298m,,,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"35.68782073871327,139.77095478444784",03-3241-2476,東京都中央区日本橋本石町3-3-4 ,350,unagi,False,35.68782073871327,139.77095478444784,unagi
食べログ うなぎ 百名店 2024 選出店,鰻専門店 愛川,高田馬場駅 368m , うなぎ、海鮮、日本料理,ふっくらとした関東風、パリッとした関西風――。あなたはどちらの“鰻”を選びますか？,"￥6,000～￥7,999","￥6,000～￥7,999",3.72,,https://tabelog.com/tokyo/A1305/A130503/13029734/,予約可,予約専用番号050-1720-8227●お席はテーブル、または掘りごたつです。ご指定出来ません。●鰻重のご注文も同時に伺います。予めメニューをご確認ください。●美味しい鰻を召し上がって頂くために、出来る限りご予約の時間通り、皆様お揃いで御来店ください。●連絡なく予約時間を過ぎた場合、お待ちのお客様を先にお通しすることがあります。予約内容の変更については、早めのご連絡をお願いします。,JR・西武新宿線「高田馬場駅」より歩７分東京メトロ東西線「高田馬場駅」7番口より歩2分 高田馬場駅から368m,11:00 - 14:30L.O. 料理13:30,■ 営業時間[木～月]11:00～L.O 13:3017:00～L.O 19:30売り切れ次第終了の為、お早めのご来店をお勧め致します。■ 定休日火・水曜日(臨時休業有り),カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済可 （PayPay）,"35.71134273867815,139.70755968472986",03-3200-3717,東京都新宿区高田馬場1-17-22 ,1130,unagi,False,35.71134273867815,139.70755968472986,unagi
食べログ うなぎ 百名店 2024 選出店,明神下 神田川 本店,御茶ノ水駅 357m , うなぎ,,"￥15,000～￥19,999","￥15,000～￥19,999",3.72,月曜日、日曜日、祝日,https://tabelog.com/tokyo/A1310/A131002/13000346/,予約可,,地下鉄銀座線・末広町駅より蔵前橋通りを西に。妻恋坂交差点を左に曲がり、神田明神方面へ歩いて８分程度。ＪＲ御茶ノ水駅聖橋口出て左へ聖橋（ひじりばし）を渡り、湯島聖堂交差点を右に。神田明神入口の天野屋の前を通り、神田明神下交差点を左に。黒い塀の古い建物。徒歩9分程度。 御茶ノ水駅から357m,,,カード可 （VISA、Master） 電子マネー不可 QRコード決済不可,"35.70037153870468,139.76898278457597",03-3251-5031,東京都千代田区外神田2-5-11 ,430,unagi,False,35.70037153870468,139.76898278457597,unagi
食べログ うなぎ 百名店 2024 選出店,炭焼 うな富士 有楽町店,内幸町駅 276m , うなぎ、海鮮、レストラン,【新橋駅徒歩3分】名古屋の人気うなぎ店が東京初進出。日比谷OKUROJIにOPEN！！,"￥5,000～￥5,999","￥5,000～￥5,999",3.71,,https://tabelog.com/tokyo/A1301/A130103/13250032/,予約可,,JR 有楽町駅 日比谷口徒歩6分JR 新橋駅 銀座口徒歩4分東京メトロ銀座線 新橋駅7番出口 徒歩6分東京メトロ日比谷線 銀座駅 または　日比谷駅東京メトロ千代田線　日比谷駅東京メトロ三田線　日比谷駅　または　内幸町駅東京メトロ有楽町線　有楽町駅 内幸町駅から276m,11:00 - 22:00L.O. 21:00,■ 営業時間尚、2021年10月1日～10月17日までは、11:00~21:00の通し営業■ 定休日日比谷OKUROJIに準ずる,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー可 （交通系電子マネー（Suicaなど）） QRコード決済可 （PayPay）,"35.66977435579601,139.75881879912384",03-6457-9688,東京都千代田区内幸町1-7-1 H12,1683,unagi,False,35.66977435579601,139.75881879912384,unagi
,銀座すがの,新橋駅 342m , 鳥料理、うなぎ、日本料理,玉鋼で焼き上げる鴨と至高の四季の味覚 素材の一点だけを抽出した唯一無二の日本料理,"￥50,000～￥59,999","￥50,000～￥59,999",3.71,日曜日,https://tabelog.com/tokyo/A1301/A130103/13269851/,完全予約制,ご予約は『OMAKASE』サイトより承ります。ご予約をキャンセルされた場合、いかなる理由であっても下記の料金を頂戴いたします。前日、当日: 100%7日前　50%,新橋駅　徒歩5分銀座駅　徒歩10分 新橋駅から342m,11:30 - 14:00,2024年11月より定休日（火）（水）,カード可 電子マネー不可 QRコード決済不可,"35.668400938722485,139.76112478425856",050-3627-6180,東京都中央区銀座8-7-7 JUNO銀座誠和ビル 3F,135,unagi,False,35.668400938722485,139.76112478425856,unagi
,三宅輝,六本木駅 301m , 日本料理、うなぎ、海鮮,農林水産省より“日本食普及の親善大使”に任命された“三宅輝”,"￥30,000～￥39,999","￥30,000～￥39,999",3.7,,https://tabelog.com/tokyo/A1307/A130701/13247307/,完全予約制,早い時間帯のご来店時間につきましては、お客様のご希望を承りますので、どうぞお気兼ねなくお問い合わせくださいませ。,東京メトロ日比谷線「六本木駅」から徒歩５分都営大江戸線「六本木駅」から徒歩10分 六本木駅から301m,17:00 - 22:30L.O. 22:00,■ 営業時間17:00~22:30(最終入店 20:00）LO 22:00土曜日のみ12:00〜14:00(LO 13:45)■ 定休日日曜・祝日（年末年始、お盆、GW）,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"35.66325213871727,139.7344852842252",03-6812-9969,東京都港区六本木3-8-12 六本木JTビル 1F,207,unagi,False,35.66325213871727,139.7344852842252,unagi
食べログ うなぎ 百名店 2024 選出店,銀座 四代目 高橋屋 銀座店,東銀座駅 107m , うなぎ、日本料理,,"￥8,000～￥9,999","￥8,000～￥9,999",3.7,,https://tabelog.com/tokyo/A1301/A130101/13262334/,予約可,"ご予約 無しでも お気軽に！ミシュラン  ガイド  東京 セレクテッド レストラン満席の場合、携帯番号をお伝えください。◆オススメ◆うな丼御膳. 5,000円割きたて重御膳. 8,000円（人気料理）※ うなぎは「青うなぎ使用」※ 米は「ハザ掛け米 使用」※ 三井財閥「 料亭・松の茶屋 」と「 銀座・小十 」をベースにした うなぎ料理店。",銀座駅徒歩 4分.東銀座駅徒歩 1分.歌舞伎座楽屋口隣歌舞伎座 駐車場すぐ. 東銀座駅から107m,11:30 - 16:00L.O. 料理15:00 ドリンク15:30,■ 定休日毎週月曜日第ニ、月曜日・火曜日、第三、月曜日・火曜日、,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"35.67018363792547,139.76793524538203",03-3547-0021,東京都中央区銀座4-12-1 ＶＯＲＴ銀座イーストⅡビル 4F,204,unagi,False,35.67018363792547,139.76793524538203,unagi
食べログ うなぎ 百名店 2024 選出店,山の茶屋,赤坂見附駅 297m , うなぎ,,"￥15,000～￥19,999","￥15,000～￥19,999",3.7,日曜日、祝日,https://tabelog.com/tokyo/A1308/A130802/13002739/,完全予約制,完全予約制　【予約受付時間：ＡＭ９：００～ＰＭ２０：００】席、個室、料理の予約はＴＥＬにて店舗へお問い合わせください。,千代田線 国会議事堂前駅（５番出口）徒歩３分銀座線・南北線 溜池山王駅（５番出口）徒歩３分丸の内線 赤坂見附駅（１０番出口）徒歩６分丸の内線 国会議事堂前駅（１番出口）徒歩４分有楽町線・半蔵門線 永田町駅（６番出口）徒歩１０分日比谷高校側の通りに店舗正面入り口があります。 赤坂見附駅から297m,,,カード可 （JCB、AMEX、Diners） 電子マネー不可 QRコード決済可 （d払い）,"35.675323638711355,139.74003888434328",03-3581-0585,東京都千代田区永田町2-10-6 ,185,unagi,False,35.675323638711355,139.74003888434328,unagi
食べログ うなぎ 百名店 2024 選出店,小満津,東高円寺駅 303m , うなぎ,,"￥10,000～￥14,999","￥10,000～￥14,999",3.7,月曜日,https://tabelog.com/tokyo/A1319/A131904/13001079/,完全予約制,前日までに要予約,地下鉄東高円寺駅徒歩5分 東高円寺駅から303m,,,カード可 （AMEX） 電子マネー不可,"35.69732143867236,139.66142758462058",080-8734-1091,東京都杉並区和田3-62-3 １Ｆ,100,unagi,False,35.69732143867236,139.66142758462058,unagi
食べログ うなぎ 百名店 2024 選出店,神泉いちのや,神泉駅 199m , うなぎ,,"￥10,000～￥14,999","￥10,000～￥14,999",3.69,月曜日,https://tabelog.com/tokyo/A1303/A130301/13004659/,予約可,,京王井の頭線【神泉駅】徒歩３分東京メトロ半蔵門線、東急田園都市線【渋谷駅】徒歩12分ＪＲ山手線【渋谷駅】ハチ公口　徒歩14分 神泉駅から199m,11:30 - 14:00,■ 定休日月曜祝日は営業、その際は翌日火曜休み,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"35.65706603870748,139.6914239841929",03-5459-6862,東京都渋谷区神泉町20-22 神泉ハイツ 1F,610,unagi,False,35.65706603870748,139.6914239841929,unagi
食べログ うなぎ 百名店 2024 選出店,うなぎ秋本,麹町駅 62m , うなぎ、日本料理、どじょう,,"￥8,000～￥9,999","￥8,000～￥9,999",3.69,日曜日、祝日,https://tabelog.com/tokyo/A1308/A130803/13000415/,予約可,ご予約はお電話でご連絡下さい。,東京メトロ有楽町線【麹町駅】徒歩１分ＪＲ中央線【四ツ谷駅】徒歩10分東京メトロ丸ノ内線・南北線【四ツ谷駅】徒歩11分 麹町駅から62m,11:30 - 14:30L.O. 14:00,■ 定休日第2土曜日,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"35.68470460843233,139.73748543899666",03-3261-6762,東京都千代田区麹町3-4-4 ,533,unagi,False,35.68470460843233,139.73748543899666,unagi
食べログ うなぎ 百名店 2024 選出店,うなぎ 丸富,青物横丁駅 215m , うなぎ、丼、居酒屋,,"￥3,000～￥3,999","￥3,000～￥3,999",3.69,水曜日、日曜日,https://tabelog.com/tokyo/A1315/A131501/13026638/,予約不可,,京浜急行線青物横丁駅徒歩3分 青物横丁駅から215m,,,カード不可 電子マネー不可 QRコード決済不可,"35.610687038753845,139.74453498368723",03-3474-4382,東京都品川区南品川3-6-2 ,442,unagi,False,35.610687038753845,139.74453498368723,unagi
,鰻はし本,東京駅 357m , うなぎ、日本料理、丼,,"￥10,000～￥14,999","￥10,000～￥14,999",3.69,日曜日、祝日,https://tabelog.com/tokyo/A1302/A130201/13278450/,,,JR東京駅から徒歩３分日本橋駅から3分 東京駅から357m,11:00 - 14:30L.O. 13:30,"■ 営業時間[土]※第2,４土曜日お昼のみ営業■ 定休日第1,3土曜日・土用丑の日・お盆・年末年始",カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー可 （交通系電子マネー（Suicaなど）、iD、QUICPay） QRコード決済可 （PayPay）,"35.680303246689434,139.77115229925502",,東京都中央区日本橋3-3-3 いづみやビル 1F,209,unagi,False,35.680303246689434,139.77115229925502,unagi
,鈴木,調布駅 162m , うなぎ,,"￥10,000～￥14,999","￥10,000～￥14,999",3.67,-,https://tabelog.com/tokyo/A1326/A132601/13005981/,予約可,,京王線調布駅から徒歩2-3分 調布駅から162m,,,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済可 （PayPay、d払い、楽天ペイ、au PAY）,"35.65171013866471,139.54644758424044",050-3177-4055,東京都調布市布田1-50-1 マートルコート調布第３,280,unagi,False,35.65171013866471,139.54644758424044,unagi
食べログ うなぎ 百名店 2024 選出店,うなぎ 平八,田園調布駅 60m , うなぎ,,"￥4,000～￥4,999","￥4,000～￥4,999",3.67,月曜日、火曜日,https://tabelog.com/tokyo/A1317/A131704/13017676/,予約可,,田園調布駅1分 田園調布駅から60m,,,カード不可 電子マネー不可 QRコード決済不可,"35.59709483873804,139.66778328360374",03-3722-0198,東京都大田区田園調布2-50-2 ,272,unagi,False,35.59709483873804,139.66778328360374,unagi
,川栄,赤羽駅 264m , うなぎ、鳥料理,定休日、営業時間のお知らせ。,"￥4,000～￥4,999","￥4,000～￥4,999",3.66,水曜日、日曜日,https://tabelog.com/tokyo/A1323/A132305/13008753/,予約可,当日ご予約可能でございます。昼:10時30分、夜:16時迄。注意:店内で飲食の際は鰻は1人1枚の注文必須です。　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,ＪＲ埼京線・京浜東北線【赤羽駅】東口　徒歩３分東京メトロ南北線、埼玉高速鉄道【赤羽岩淵駅】徒歩６分 赤羽駅から264m,11:30 - 14:00L.O. 13:30,■ 営業時間※当日予約は昼:10時30分、夜:16時迄出前も受付ておりますので、ぜひご利用下さい。エリアにつきましては、お問い合わせ下さい。,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー可 （QUICPay） QRコード決済可 （PayPay、d払い、楽天ペイ、au PAY）,"35.7800774386385,139.72019088541526",03-3901-3729,東京都北区赤羽1-19-16 ,777,unagi,False,35.7800774386385,139.72019088541526,unagi
