awards,name,station,genre,pr,dinner_budget,lunch_budget,rating,holiday,url,reserve_status,reserve_method,transportation,opening_time,extra_holiday_info,payment_methods,geo_coordinates,telephone,address,num_review,visited,latitude,longitude
The Tabelog Award 2024 Gold 受賞店,日本橋蛎殻町 すぎた,水天宮前駅 101m , 寿司,江戸前の真髄をいまに伝える握り。進化し続ける職人技と細やかな気配りで魅せる正統派江戸前鮨。,"￥40,000～￥49,999","￥40,000～￥49,999",4.68,-,https://tabelog.com/tokyo/A1302/A130204/13018162/,完全予約制,,水天宮前駅4番出口から徒歩約2分 水天宮前駅から101m,,,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"35.68192953872146,139.78492058437854",03-3669-3855,東京都中央区日本橋蛎殻町1-33-6 ビューハイツ日本橋 B1F ,822,False,35.68192953872146,139.78492058437854
The Tabelog Award 2024 Gold 受賞店,東麻布 天本,赤羽橋駅 259m , 寿司,名店の魂を継承し、極上の魚に技巧を尽くす現代江戸前鮨の未来,"￥40,000～￥49,999","￥40,000～￥49,999",4.61,水曜日、日曜日,https://tabelog.com/tokyo/A1314/A131401/13196420/,完全予約制,※ご予約はウェブサイトからのみ受付けます。ご来店時やお電話・メールなどその他の方法によるお問い合わせは一切受け付けておりません。,都営大江戸線 赤羽橋駅 徒歩4分 東京メトロ日比谷線 神谷町駅 徒歩10分 赤羽橋駅から259m,,,カード可 （VISA、Master、AMEX、Diners） 電子マネー不可 QRコード決済不可,"35.65730923872389,139.7434470841589",不明の為情報お待ちしております,東京都港区東麻布1-7-9 ザ・ソノビル 102,531,False,35.65730923872389,139.7434470841589
The Tabelog Award 2024 Gold 受賞店,鮨 あらい,銀座駅 443m , 寿司,"久兵衛、すし匠を経て弱冠33歳で独立。""握り""にこだわった新しい世代の銀座寿司","￥50,000～￥59,999","￥50,000～￥59,999",4.6,水曜日,https://tabelog.com/tokyo/A1301/A130101/13188186/,予約可,,東京メトロ「銀座駅」A5出口から徒歩5～6分 銀座駅から443m,,,カード可 （JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"35.668071938723195,139.76271398425413",03-6264-5855,東京都中央区銀座8-10-2 ルアンビル B1F 2F,810,False,35.668071938723195,139.76271398425413
The Tabelog Award 2024 Gold 受賞店,鮨 さいとう,六本木一丁目駅 74m , 寿司,美しく丁寧な所作と情熱が織り成す、珠玉の握り。世界が認めた鮨のたおやかなる余韻に浸る。,"￥30,000～￥39,999","￥30,000～￥39,999",4.59,日曜日、祝日,https://tabelog.com/tokyo/A1308/A130802/13015251/,完全予約制,新規の電話ご予約は受け付けておりません。予約サイト「食オク」にて限定でご予約を承ります。,溜池山王駅徒歩5分虎ノ門駅徒歩8分 六本木一丁目駅から74m,12:00 - 14:00,■ 定休日但し、連休にならない祝日は除く,カード可 （VISA、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"35.665376438717544,139.7395882842431",03-3589-4412,東京都港区六本木1-4-5 アークヒルズサウスタワー 1Ｆ,1130,False,35.665376438717544,139.7395882842431
The Tabelog Award 2024 Gold 受賞店,鮨 なんば 日比谷,日比谷駅 94m , 寿司,舎利と種の温度を1℃単位で変える。飽くなき探究心に圧倒される、美味を極めた究極の一貫。,"￥50,000～￥59,999","￥50,000～￥59,999",4.56,-,https://tabelog.com/tokyo/A1301/A130102/13219857/,完全予約制,新規のご予約は予約サイト「食オク」にて承ります。,日比谷駅から94m,,,カード可 電子マネー不可 QRコード決済不可,"35.67417923871825,139.75938558431815",03-6273-3334,東京都千代田区有楽町1-1-2 東京ミッドタウン日比谷 3F,779,False,35.67417923871825,139.75938558431815
The Tabelog Award 2024 Gold 受賞店,三谷,四ツ谷駅 333m , 寿司,,"￥40,000～￥49,999","￥40,000～￥49,999",4.55,月曜日、火曜日,https://tabelog.com/tokyo/A1309/A130902/13042204/,完全予約制,完全予約制(予約には紹介者が必要),ＪＲ中央線【四ツ谷駅】徒歩４分東京メトロ丸ノ内線・南北線【四ツ谷駅】徒歩５分 四ツ谷駅から333m,18:00 - 22:30L.O. 22:00,■ 営業時間ランチ営業なし,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"35.68753553869972,139.72787208447514",03-5366-0132,東京都新宿区四谷1-22-1 ,297,False,35.68753553869972,139.72787208447514
The Tabelog Award 2024 Silver 受賞店,さわ田,銀座駅 186m , 寿司,,"￥50,000～￥59,999","￥50,000～￥59,999",4.54,月曜日、木曜日、日曜日,https://tabelog.com/tokyo/A1301/A130101/13001043/,完全予約制,,東京メトロ「銀座駅」A5出口より徒歩1分（東銀座駅からも至近） 銀座駅から186m,,,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"35.67046213872248,139.7652437842765",03-3571-4711,東京都中央区銀座5-9-19 ＭＣビル3Ｆ,521,False,35.67046213872248,139.7652437842765
The Tabelog Award 2024 Silver 受賞店,鮨 尚充,中目黒駅 487m , 寿司,至上のうに握りを食べ比べ。圧巻のパフォーマンスでうにラヴァーを魅了する、中目黒の名店,"￥50,000～￥59,999","￥50,000～￥59,999",4.5,日曜日,https://tabelog.com/tokyo/A1317/A131701/13128483/,予約可,,東急東横線、地下鉄日比谷線、中目黒駅下車。徒歩１０分 中目黒駅から487m,18:00 - 00:00,■ 定休日日曜日（月曜日が祝日の場合は休業）,カード可 （JCB、AMEX） 電子マネー不可 QRコード決済不可,"35.647416538714815,139.6952084840928",03-3712-6999,東京都目黒区青葉台1-28-2 EXA 1F,604,False,35.647416538714815,139.6952084840928
The Tabelog Award 2024 Silver 受賞店,島津,白金高輪駅 56m , 寿司,,"￥40,000～￥49,999","￥40,000～￥49,999",4.5,月曜日、日曜日,https://tabelog.com/tokyo/A1316/A131602/13252991/,完全予約制,,白金高輪駅3番出口　徒歩2分 白金高輪駅から56m,18:00 - 22:45,■ 営業時間［火・水・木・金・土］第一部18:00～20:15第二部20:30～22:45,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"35.64316633872975,139.73363878402293",不明の為情報お待ちしております,東京都港区白金1-29-13 白金ヴィレッジ 1F,399,False,35.64316633872975,139.73363878402293
The Tabelog Award 2024 Silver 受賞店,すし匠,四ツ谷駅 192m , 寿司,進化を続ける、すし匠の江戸前鮨。熟成と研ぎ澄まされた技が輝く究極の味を堪能する。,"￥40,000～￥49,999","￥40,000～￥49,999",4.43,日曜日,https://tabelog.com/tokyo/A1309/A130902/13000852/,予約可,毎月１日に翌月の予約受付開始,ＪＲ中央線、東京メトロ丸ノ内線・南北線【四ツ谷駅】徒歩4分 四ツ谷駅から192m,11:30 - 13:30,■ 定休日祝日の月曜、GW、年末年始,カード可 （VISA、JCB、AMEX、Diners）,"35.68557683870112,139.72831898445503",03-3351-6387,東京都新宿区四谷1-11 陽臨堂ビル　１Ｆ,1002,False,35.68557683870112,139.72831898445503
The Tabelog Award 2024 Silver 受賞店,鮨 はしもと,新富町駅 277m , 寿司,,"￥30,000～￥39,999","￥30,000～￥39,999",4.41,火曜日、水曜日,https://tabelog.com/tokyo/A1313/A131301/13238306/,完全予約制,予約はOMAKASEから,東京メトロ有楽町線・新富町駅より徒歩4分東京メトロ日比谷線・八丁堀駅より徒歩5分 新富町駅から277m,12:00 - 14:00,■ 営業時間※完全予約制,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"35.67292973872384,139.77446918429496",03-5541-5578,東京都中央区新富1-8-2 grandir ginza east 1F,519,False,35.67292973872384,139.77446918429496
The Tabelog Award 2024 Silver 受賞店,すし 良月,広尾駅 731m , 寿司,次世代の江戸前寿司を牽引する、豊かな発想力と緻密な手仕事。,"￥40,000～￥49,999","￥40,000～￥49,999",4.35,月曜日、日曜日,https://tabelog.com/tokyo/A1303/A130302/13241432/,予約可,ご予約は予約専用サイトからも承っております。・香水、柔軟剤等香りの強い方は入店をお断りさせて頂いております。・ご予約のお時間に一斉スタートとなります。万が一、遅刻・途中退店される場合、コースの一部をお出しできない可能性もございます。,広尾駅・恵比寿駅・白金高輪駅　徒歩10～12分 広尾駅から731m,12:00 - 14:30,■ 定休日日曜日、月曜日を中心にした不定休（臨時でお休み頂く場合がございます）,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"35.64528403872478,139.7222325840523",050-3390-0121,東京都渋谷区恵比寿2-37-8 グランデュオ広尾 1F,272,False,35.64528403872478,139.7222325840523
The Tabelog Award 2024 Bronze 受賞店,千葉たかおか,東京駅 233m , 寿司,,"￥30,000～￥39,999","￥30,000～￥39,999",4.35,月曜日、木曜日,https://tabelog.com/tokyo/A1302/A130201/13282854/,完全予約制,,東京駅から233m,17:00 - 23:00,■ 定休日不定休,カード可 （AMEX） 電子マネー不可 QRコード決済不可,"35.67941050470188,139.76893251630807",080-9712-5544,東京都中央区八重洲2-2-1 東京ミッドタウン八重洲 3F,137,False,35.67941050470188,139.76893251630807
The Tabelog Award 2024 Silver 受賞店,鮨 龍次郎,外苑前駅 317m , 寿司,名人から受け継ぐ確かな技と心意気。入魂の鮪の鮨一貫から始まる魅惑のコース。,"￥30,000～￥39,999","￥30,000～￥39,999",4.33,日曜日、祝日,https://tabelog.com/tokyo/A1306/A130603/13240787/,予約可,完全予約制⚠︎現在お電話でのご予約は控えさせて頂いております。通常のご予約はOMAKASE限定席は食オクからのご予約となります。,東京メトロ銀座線　　青山一丁目駅 徒歩5分                              外苑前駅　    徒歩徒歩4分東京メトロ半蔵門線　青山一丁目駅 徒歩5分 外苑前駅から317m,18:00 - 23:30,■ 営業時間12時、18時、20時30 に一斉スタートの3回転制。,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"35.67130519976331,139.72109352838746",03-6384-5865,東京都港区南青山2-11-11 ARISTO南青山 1F,677,False,35.67130519976331,139.72109352838746
The Tabelog Award 2024 Bronze 受賞店,青空,新橋駅 326m , 寿司,名店で研鑽を積んだ職人による、江戸前握りの真骨頂。,"￥60,000～￥79,999","￥60,000～￥79,999",4.33,日曜日、祝日,https://tabelog.com/tokyo/A1301/A130103/13032283/,予約可,,銀座駅徒歩8分。新橋駅徒歩5分。 新橋駅から326m,17:00 - 00:00,■ 営業時間22:00前の来店まで,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済可 （d払い）,"35.669227738721354,139.75924868426824",03-3573-1144,東京都中央区銀座8-3-1 銀座時傳ビル 6F,381,False,35.669227738721354,139.75924868426824
The Tabelog Award 2024 Bronze 受賞店,鮨 鈴木,銀座駅 210m , 寿司,凛とした和空間で極上の一貫を。繊細且つ洗練を極めた正統派の江戸前握りを享受する,-,-,4.31,月曜日,https://tabelog.com/tokyo/A1301/A130101/13184367/,,,有楽町駅、新橋駅、銀座駅銀座駅B9出口（ソニービル入口）から徒歩3分 銀座駅から210m,,,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"35.67108649420606,139.76205541435445",,東京都中央区銀座6-5-15 銀座能楽堂ビル 5F,399,False,35.67108649420606,139.76205541435445
The Tabelog Award 2024 Bronze 受賞店,波濤,牛込神楽坂駅 403m , 寿司,ミシュラン星付き「神楽坂 石かわ」が繰り出す、日本料理と江戸前鮨の融合。,"￥50,000～￥59,999","￥50,000～￥59,999",4.31,-,https://tabelog.com/tokyo/A1309/A130905/13245540/,予約可,ご予約は予約専用サイトからも承っております。,都営大江戸線　 牛込神楽坂駅A3出口　徒歩４分東京メトロ　有楽町線、南北線、東西線 飯田橋駅B３出口　徒歩５分 牛込神楽坂駅から403m,,,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"35.702185638693926,139.7388556846154",050-3138-5225,東京都新宿区神楽坂5-7 ,263,True,35.702185638693926,139.7388556846154
The Tabelog Award 2024 Silver 受賞店,鮨 しゅん輔 阿佐ヶ谷,阿佐ケ谷駅 168m , 寿司,予約困難な名店の柱は、若き大将の心の握り。酒肴に酔い、鮨に酔う、職人の粋に痺れるひと時,"￥20,000～￥29,999","￥20,000～￥29,999",4.3,日曜日,https://tabelog.com/tokyo/A1319/A131905/13127515/,予約可,【注意事項】キャンセルポリシー：前日100%、当日100%月初にキャンセル分を受付。HPの所からオンライン予約が出来るみたいですね。,阿佐ヶ谷駅徒歩２～３分■南口を出て、交番の横を通り細い道をまっすぐ突き当たりまで進みます。■右手にスマイルホテルがあるので、そこを右に曲がります。■すぐに左へ行く道があるので、左に曲がりまっすぐ30mほど進みます。（左へ行く道が二つあるので、手前側を曲がって下さいね）■右手に鮨しゅん輔があります。 阿佐ケ谷駅から168m,18:00 - 00:00,■ 営業時間(二部制)前半 18:00～20:50後半 21:00～24:00■ 定休日不定期で月曜日,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"35.70449103865903,139.63391198471228",03-3391-3118,東京都杉並区阿佐谷南3-44-4 B1F ,558,True,35.70449103865903,139.63391198471228
The Tabelog Award 2024 Bronze 受賞店,鮨 はしぐち,赤坂見附駅 456m , 寿司,,"￥50,000～￥59,999","￥50,000～￥59,999",4.29,日曜日、祝日,https://tabelog.com/tokyo/A1308/A130801/13134517/,予約可,,赤坂見附駅（B出口）より徒歩7分程度。 赤坂見附駅から456m,,,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"35.67761903870744,139.73231008437187",03-3478-3588,東京都港区元赤坂1-5-20 ロイヤル赤坂サルーン1F,237,False,35.67761903870744,139.73231008437187
The Tabelog Award 2024 Bronze 受賞店,すし匠 齋藤,赤坂見附駅 160m , 寿司,交互に供されるつまみと握り。その緩急に齋藤氏の感性が交錯する、ネオスタンダードな江戸前寿司,"￥60,000～￥79,999","￥60,000～￥79,999",4.28,月曜日,https://tabelog.com/tokyo/A1308/A130801/13023988/,予約可,,東京メトロ銀座線・丸ノ内線【赤坂見附駅】徒歩３分東京メトロ半蔵門線【永田町駅】徒歩５分東京メトロ南北線【永田町駅】徒歩６分東京メトロ有楽町線【永田町駅】徒歩８分東京メトロ千代田線【赤坂駅】徒歩６分 赤坂見附駅から160m,17:30 - 20:00,■ 定休日第2・第4日曜日,カード可 （VISA、JCB、AMEX、Diners） 電子マネー不可 QRコード決済可 （d払い）,"35.67608663870947,139.73561008435408",03-3505-6380,東京都港区赤坂4-2-2 赤坂DNプラザビル 2F,412,False,35.67608663870947,139.73561008435408
The Tabelog Award 2024 Bronze 受賞店,鮨処 やまと,築地駅 101m , 寿司,銘店のDNAを引き継ぐ未来の名店。衒いなく実直な鮨が美しく美味。,"￥20,000～￥29,999","￥20,000～￥29,999",4.28,-,https://tabelog.com/tokyo/A1313/A131301/13262384/,完全予約制,予約 お電話にて毎月第一営業日の10時より翌月分までをお受けしてます。,東京メトロ日比谷線築地駅から徒歩3分 築地駅から101m,,,カード可 （VISA、Master） 電子マネー不可 QRコード決済不可,"35.6679167387268,139.77374988424484",03-3543-6311,東京都中央区築地3-7-2 第五銀座ウェスト築地ビル 1F,378,False,35.6679167387268,139.77374988424484
The Tabelog Award 2024 Bronze 受賞店,匠 進吾,青山一丁目駅 168m , 寿司,握りとつまみがテンポよく織りなす、緩急自在の味わい。すし匠の系譜を継ぐ正統派江戸前鮨,"￥30,000～￥39,999","￥30,000～￥39,999",4.27,火曜日、水曜日,https://tabelog.com/tokyo/A1306/A130603/13155925/,完全予約制,現在、お電話でのご予約をお断りしております。大変ご迷惑おかけいたします。,東京メトロ銀座線・半蔵門線、都営地下鉄大江戸線【青山一丁目駅】徒歩２分 青山一丁目駅から168m,17:00 - 22:30,■ 営業時間17:00〜19:30（一部）20:00〜22:30（二部）,カード可 （VISA、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"35.67134573870875,139.7238779843144",050-3650-0074,東京都港区南青山2-2-15 ウィン青山 1F,295,False,35.67134573870875,139.7238779843144
The Tabelog Award 2024 Bronze 受賞店,鮨 みずかみ ,半蔵門駅 309m , 寿司,ネタの風味が映える鮨。磨き抜かれた職人技と魚介が生みだす鮮やかな味わい。,"￥40,000～￥49,999","￥40,000～￥49,999",4.27,水曜日,https://tabelog.com/tokyo/A1308/A130803/13220742/,予約可,,半蔵門駅から309m,,,カード可 （VISA、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"35.68773453870452,139.74330828446634",03-3230-0326,東京都千代田区一番町3-8 大宮ビル 1F,236,True,35.68773453870452,139.74330828446634
The Tabelog Award 2024 Bronze 受賞店,新ばし しみづ,新橋駅 169m , 寿司,,"￥20,000～￥29,999","￥20,000～￥29,999",4.26,-,https://tabelog.com/tokyo/A1301/A130103/13002892/,予約可,港区新橋2-15-13より移転】※予約受付は予約サイトomakaseより一週間前の同じ曜日の12時から開放。※予約の際、常識ですが香水と禁煙を確認されます。※携帯電話での通話禁止,新橋駅・烏森口より徒歩3分。烏森口より新橋ビルを右手に直進。右手の細い烏森神社参道に入り、まもなく左の脇道に入ったところの左手。（旧店舗の向かい側） 新橋駅から169m,,,カード可 （VISA、Master、AMEX） 電子マネー不可 QRコード決済不可,"35.66646013872219,139.75637318424228",03-3591-5763,東京都港区新橋2-15-10 ,620,False,35.66646013872219,139.75637318424228
The Tabelog Award 2024 Bronze 受賞店,すが弥,赤羽橋駅 135m , 寿司,握りを嗜むお任せコース。心地よい緊張感の中、経験に裏打ちされた究極の一貫に舌鼓を鳴らす。,"￥60,000～￥79,999","￥60,000～￥79,999",4.25,水曜日,https://tabelog.com/tokyo/A1314/A131401/13228776/,完全予約制,※一斉スタートの為、遅れてご到着の場合一部お料理がお出しできない場合が御座いますのでお気をつけ下さい。※キャンセルポリシー予約時以降キャンセル10%31日前からキャンセル50%7日前からキャンセル100%※大変恐縮ではございますが、ご理解ご協力くださいますようお願い申し上げます。,都営大江戸線　赤羽橋駅（中之橋出口）より徒歩2分東京メトロ　麻布十番駅（３番出口）より徒歩7分都営三田線　芝公園駅（A4出口）より徒歩10分 赤羽橋駅から135m,18:00 - 22:45,■ 営業時間［月・火・金・土］(一部)18:00〜20:00(二部)20:45～22:45［木］(一部のみ)19:00〜21:00［日・祝］(一部)16:00〜18:00(ニ部)18:45～20:45※日によって時間帯が異なりますので、恐れ入りますが店舗までお問い合わせ下さいませ。※扉はオープンと同時に開きますのでお時間までお待ちいただけますと幸いです。■ 定休日※水曜日・不定休（不定期に営業時間を変更させて頂く場合や休店日とさせて頂く場合がございます。恐れ入りますが詳細はご予約の際に店舗までお問い合わせくださいませ。）,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"35.655312717883255,139.74247498280818",03-6230-9545,東京都港区東麻布1-29-15 東麻布296ビル 1F,460,False,35.655312717883255,139.74247498280818
食べログ 寿司 TOKYO 百名店 2022 選出店,すし 喜邑,二子玉川駅 530m , 寿司,すし㐂邑より営業についてのお知らせ,"￥30,000～￥39,999","￥30,000～￥39,999",4.21,-,https://tabelog.com/tokyo/A1317/A131708/13026584/,完全予約制,※ご予約はウェブサイトからのみ受付けます。その他の方法によるお問い合わせは受け付けておりませんので、ご了承ください。国内からのご予約はOMAKASEにて、海外からのご予約はTABLEALLにてのみ受付を致しております。,二子玉川駅徒歩7分 二子玉川駅から530m,,,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"35.61602243871219,139.62435138382534",03-3707-6355,東京都世田谷区玉川3-21-8 ,450,False,35.61602243871219,139.62435138382534
,鮨 一幸,東銀座駅 174m , 寿司,,"￥60,000～￥79,999","￥60,000～￥79,999",4.21,水曜日,https://tabelog.com/tokyo/A1301/A130101/13300481/,完全予約制,ご予約は、WebサイトOMAKASEのみ受付となります。,銀座駅 A1出口より徒歩4分東銀座駅 A1出口より徒歩2分 東銀座駅から174m,,,カード可 電子マネー不可 QRコード決済不可,"35.66950157834758,139.76547999590605",不明の為情報お待ちしております,東京都中央区銀座5-11-12 日総第26ビル 3F,38,False,35.66950157834758,139.76547999590605
,鮨しゅんじ,麻布十番駅 666m , 寿司,,"￥50,000～￥59,999","￥50,000～￥59,999",4.16,-,https://tabelog.com/tokyo/A1307/A130701/13282687/,完全予約制,※ご予約はウェブサイトからのみ受付けます。ご来店時やお電話・メールなどその他の方法によるお問い合わせは一切受け付けておりません。,東京メトロ日比谷線 六本木駅 徒歩10分麻布十番駅から 徒歩10分 麻布十番駅から666m,,,カード可 電子マネー不可 QRコード決済不可,"35.65705753871935,139.7287060841667",03-6434-5021,東京都港区元麻布3-6-34 カーム元麻布 1F,118,False,35.65705753871935,139.7287060841667
The Tabelog Award 2024 Bronze 受賞店,初音鮨,蒲田駅 363m , 寿司,渾身の技と心意気が詰まった想像を超える握り。,"￥60,000～￥79,999","￥60,000～￥79,999",4.15,-,https://tabelog.com/tokyo/A1315/A131503/13017742/,完全予約制,現金決済は出来かねます。ご了承くださいませ。,JR蒲田駅西口徒歩5分 蒲田駅から363m,,,カード可 （VISA、Master、JCB、AMEX） 電子マネー可 （交通系電子マネー（Suicaなど）、QUICPay） QRコード決済可 （PayPay、d払い、au PAY）,"35.56554263877297,139.71454578325222",03-3731-2403,東京都大田区西蒲田5-20-2 ,663,False,35.56554263877297,139.71454578325222
The Tabelog Award 2024 Bronze 受賞店,鮨 よしたけ,新橋駅 438m , 寿司,銀座 の 隠れ家で味わう,"￥50,000～￥59,999","￥50,000～￥59,999",4.14,-,https://tabelog.com/tokyo/A1301/A130101/13024076/,予約可,,新橋駅から438m,,,,"35.668916238722424,139.76197128426315",不明の為情報お待ちしております,東京都中央区銀座7-8-13 Brown Place 9F,200,False,35.668916238722424,139.76197128426315
,鮨 尚充,勝どき駅 353m , 屋形船・クルージング、寿司,,"￥60,000～￥79,999","￥60,000～￥79,999",4.13,-,https://tabelog.com/tokyo/A1313/A131302/13280325/,完全予約制,新規の電話ご予約は受け付けておりません。予約サイト「食オク」にて限定でご予約を承ります。,都営大江戸線　勝ちどき駅 A3出口より徒歩5分 勝どき駅から353m,,,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"35.656705797585694,139.77986771171288",不明の為情報お待ちしております,東京都中央区晴海3-1 晴海乗船場,46,False,35.656705797585694,139.77986771171288
