awards,name,station,genre,pr,dinner_budget,lunch_budget,rating,holiday,url,reserve_status,reserve_method,transportation,opening_time,extra_holiday_info,payment_methods,geo_coordinates,telephone,address,num_review,visited,latitude,longitude
食べログ 寿司 TOKYO 百名店 2022 選出店,鮨 佐がわ,六本木駅 307m , 寿司,,"￥30,000～￥39,999","￥30,000～￥39,999",3.84,日曜日、祝日,https://tabelog.com/tokyo/A1307/A130701/13252500/,完全予約制,当店、会員様のみのご利用となります。2022年12月末でお昼の営業終了となっております。,六本木駅から徒歩３分 六本木駅から307m,,,カード可 （VISA、Master、JCB、AMEX） 電子マネー不可 QRコード決済不可,"35.66472033871604,139.73355518424069",03-6447-2525,東京都港区六本木4-2-35 アーバンスタイル六本木三河台 B1F,84,False,35.66472033871604,139.73355518424069
,鮨 ゆうき,広尾駅 278m , 寿司,,"￥30,000～￥39,999","￥30,000～￥39,999",3.83,-,https://tabelog.com/tokyo/A1307/A130703/13294395/,完全予約制,・WEB予約についてはOMAKSE経由,広尾駅から278m,,,カード可 （VISA、AMEX） 電子マネー不可 QRコード決済不可,"35.649830832222456,139.72040495831433",03-6277-0468,東京都渋谷区広尾5-17-4 1F,116,False,35.649830832222456,139.72040495831433
,鮨 奥,浅草（つくばＥＸＰ）駅 448m , 寿司,,"￥20,000～￥29,999","￥20,000～￥29,999",3.82,-,https://tabelog.com/tokyo/A1311/A131102/13257709/,予約可,,浅草駅（つくばＥＸＰ）から448m,,,カード可 （VISA、JCB） 電子マネー不可 QRコード決済不可,"35.718044038701144,139.79313418473757",03-6802-4474,東京都台東区浅草3-42-12 浅草ダイカンプラザ天仁ビル 1F,78,True,35.718044038701144,139.79313418473757
食べログ 寿司 TOKYO 百名店 2022 選出店,鮨 竜介,銀座駅 397m , 寿司,正統派の技が冴え渡る握りと、独創性溢れる斬新なつまみ。他に類を見ない“楽しい鮨”がここに。,"￥30,000～￥39,999","￥30,000～￥39,999",3.8,日曜日、祝日,https://tabelog.com/tokyo/A1301/A130101/13185503/,予約可,・ランチ・ディナーと共に予約必須・予約はHPからも承ります。,地下鉄銀座駅から９分新橋駅から６分 銀座駅から397m,17:30 - 22:30,■ 営業時間12:00ランチ予約必須,カード可 （JCB、AMEX、Diners） QRコード決済可 （d払い）,"35.67029943872099,139.76022248427836",03-3572-1530,東京都中央区銀座7-3-13 銀座第四金井ビル B1F,269,False,35.67029943872099,139.76022248427836
食べログ 寿司 TOKYO 百名店 2022 選出店,鮨 いしやま,銀座駅 185m , 寿司,,"￥20,000～￥29,999","￥20,000～￥29,999",3.8,月曜日,https://tabelog.com/tokyo/A1301/A130101/13225073/,予約可,,銀座駅から185m,12:00 - 15:00,■ 営業時間17:30～22:30(最終入店)※日曜は昼のみ営業,カード可 （JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"35.67311993872088,139.76552328430316",03-3538-3969,東京都中央区銀座3-3-6 銀座モリタビル 4F,217,False,35.67311993872088,139.76552328430316
,鮓 ふじなが,麻布十番駅 203m , 寿司,,"￥60,000～￥79,999","￥60,000～￥79,999",3.8,-,https://tabelog.com/tokyo/A1307/A130702/13265370/,予約不可,完全会員制,麻布十番駅から203m,,,カード可 （AMEX） 電子マネー不可 QRコード決済不可,"35.65656613872129,139.73378368415817",03-6435-3522,東京都港区麻布十番1-5-18 カートブラン麻布十番 4F,175,False,35.65656613872129,139.73378368415817
食べログ 寿司 TOKYO 百名店 2022 選出店,紀尾井町 三谷 別邸,永田町駅 196m , 寿司,,"￥30,000～￥39,999","￥30,000～￥39,999",3.8,-,https://tabelog.com/tokyo/A1308/A130801/13262994/,完全予約制,お電話又は下記URLのOMAKASEよりご予約頂けます。,永田町駅から196m,,,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"35.67999012055067,139.7379350631635",03-6256-9881,東京都千代田区紀尾井町1-2 東京ガーデンテラス紀尾井町 3F,145,False,35.67999012055067,139.7379350631635
,すし 田いら,港区 , 寿司,,"￥40,000～￥49,999","￥40,000～￥49,999",3.8,-,https://tabelog.com/tokyo/A1307/A130702/13271063/,予約可,OMAKASEから,,,,カード可 電子マネー不可 QRコード決済不可,"0.0,0.0",非公開,東京都港区 ,72,False,0.0,0.0
,鮨 太一,銀座駅 266m , 寿司,,"￥20,000～￥29,999","￥20,000～￥29,999",3.79,-,https://tabelog.com/tokyo/A1301/A130101/13060788/,予約可,,地下鉄銀座駅から徒歩5分地下鉄東銀座から徒歩12分 銀座駅から266m,,,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済可 （d払い）,"35.671212338720764,139.7613366842868",03-3573-7222,東京都中央区銀座6-4-13 浅黄ビル 2F,442,False,35.671212338720764,139.7613366842868
食べログ 寿司 TOKYO 百名店 2022 選出店,すきやばし 次郎 六本木ヒルズ店,六本木駅 483m , 寿司,,"￥30,000～￥39,999","￥30,000～￥39,999",3.79,水曜日,https://tabelog.com/tokyo/A1307/A130701/13004426/,予約可,,東京メトロ 麻布十番駅 徒歩１０分、六本木駅 徒歩１０分 六本木駅から483m,,,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー可 （交通系電子マネー（Suicaなど）、楽天Edy、nanaco、WAON、iD、QUICPay）,"35.658697438718455,139.72914448418297",03-5413-6626,東京都港区六本木6-12-2 レジデンスB棟 3F,177,False,35.658697438718455,139.72914448418297
食べログ 寿司 TOKYO 百名店 2022 選出店,鮨 いまむら,白金台駅 706m , 寿司,,"￥20,000～￥29,999","￥20,000～￥29,999",3.79,-,https://tabelog.com/tokyo/A1316/A131602/13247741/,完全予約制,,白金台駅から706m,,,カード可 （VISA、Master、JCB、AMEX） 電子マネー不可 QRコード決済不可,"35.64419253872646,139.7253330840391",03-5789-3637,東京都港区白金6-5-9 マンション芝白金II 1F,100,False,35.64419253872646,139.7253330840391
食べログ 寿司 TOKYO 百名店 2022 選出店,新橋鶴八,新橋駅 79m , 寿司,,"￥15,000～￥19,999","￥15,000～￥19,999",3.78,日曜日、祝日,https://tabelog.com/tokyo/A1301/A130103/13173432/,予約可,ランチは前日までに予約(5人限定),ＪＲ山手線・京浜東北線【新橋駅】烏森口／日比谷口　徒歩１分東京メトロ銀座線【新橋駅】徒歩３分都営地下鉄浅草線【新橋駅】徒歩４分 新橋駅から79m,,,カード不可 電子マネー不可 QRコード決済不可,"35.666281438722635,139.75738138423978",03-6206-6886,東京都港区新橋2-16-1 ニュー新橋ビル 2F,265,False,35.666281438722635,139.75738138423978
食べログ 寿司 TOKYO 百名店 2022 選出店,高柿の鮨,水天宮前駅 135m , 寿司,,"￥30,000～￥39,999","￥30,000～￥39,999",3.78,日曜日,https://tabelog.com/tokyo/A1302/A130204/13231297/,予約可,現在お昼の営業は中止しております。御迷惑をお掛け致しますが何卒ご了承下さい。,水天宮前駅から135m,18:00 - 22:30,■ 営業時間現在お昼の営業は中止しております。御迷惑をお掛け致しますが何卒ご了承下さい。,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"35.68275723872065,139.78398768438757",03-6231-0923,東京都中央区日本橋蛎殻町1-30-2 ,210,False,35.68275723872065,139.78398768438757
,鮨 由う,銀座一丁目駅 270m , 寿司、海鮮,28日はなれに20時1席、29日はなれに17時半と20時各1席の空きがございます,"￥30,000～￥39,999","￥30,000～￥39,999",3.78,,https://tabelog.com/tokyo/A1301/A130101/13291436/,完全予約制,"・予約の際メインカウンターとはなれカウンターの間違いが無いようご注意ください。※Sorry, we are not able to service in these cases below. Gluten free, Fish that does not use alcohol, Kosher, Other religious reasons. ・お酒を使用しないお料理は提供出来兼ねます。",銀座一丁目駅　徒歩2分宝町駅　徒歩3分東銀座駅　徒歩5分銀座駅　徒歩6分 銀座一丁目駅から270m,,,カード可 電子マネー不可 QRコード決済不可,"35.6730269771383,139.76978023902078",03-5524-1134,東京都中央区銀座1-14-6 GINZA LOUIS 8F,170,False,35.6730269771383,139.76978023902078
食べログ 寿司 TOKYO 百名店 2022 選出店,鮨 浩也,大門駅 326m , 寿司、日本料理,11月の予約も受け付けております。,"￥15,000～￥19,999","￥15,000～￥19,999",3.77,,https://tabelog.com/tokyo/A1314/A131401/13247407/,予約可,"For overseas customers, please make a reservation from Home page",浜松町(北口)・大門駅(B1~B4)より徒歩6分御成門駅より徒歩8分公式instagramにて大門/浜松町からの簡単な行き方を公開しております。 大門駅から326m,,,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"35.65946703872656,139.75612318417183",03-6432-0593,東京都港区浜松町1-9-2 E-GAMIビル 1F,344,True,35.65946703872656,139.75612318417183
,鮨 さいとう 麻布台,神谷町駅 394m , 寿司,,"￥30,000～￥39,999","￥30,000～￥39,999",3.77,-,https://tabelog.com/tokyo/A1307/A130701/13295096/,完全予約制,omakaseにて事前予約受付,神谷町駅から394m,,,カード可 （AMEX） 電子マネー不可 QRコード決済不可,"35.66170133872029,139.74090428420507",不明の為情報お待ちしております,東京都港区麻布台1-2-8 ガーデンプラザC B1F 麻布台ヒルズマーケット,151,False,35.66170133872029,139.74090428420507
食べログ 寿司 TOKYO 百名店 2022 選出店,銀座いち分,新富町駅 364m , 寿司,,"￥20,000～￥29,999","￥20,000～￥29,999",3.77,-,https://tabelog.com/tokyo/A1301/A130101/13209942/,完全予約制,ご予約は予約Webサイト( TableCheck、ポケットコンシェルジュ )、またはお電話にて受付しております。詳細は公式サイトをご覧ください。　【キャンセルポリシー】ご予約前々日〜　コース料金の50%ご予約当日　　　コース料金の100% SNS 等からのご予約は一切お受けしておりません。ご了承下さいませ。,東京メトロ有楽町線　新富町駅　徒歩6分東京メトロ日比谷線・都営浅草線　東銀座駅　徒歩約７分東京メトロ銀座線・丸ノ内線・日比谷線　銀座駅　徒歩約１２分 新富町駅から364m,,,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済可 （d払い）,"35.67197663872308,139.77015538428836",03-6260-6644,東京都中央区銀座2-13-19 銀座アルカビル 1F,81,False,35.67197663872308,139.77015538428836
食べログ 寿司 TOKYO 百名店 2022 選出店,すし家 一柳,銀座一丁目駅 65m , 寿司,,"￥20,000～￥29,999","￥20,000～￥29,999",3.76,-,https://tabelog.com/tokyo/A1301/A130101/13156961/,予約可,,東京メトロ有楽町線銀座一丁目駅6番口 徒歩2分銀座駅B4出口から並木通りを徒歩5分 銀座一丁目駅から65m,11:30 - 14:00,■ 定休日不定休（予約状況などみて判断されるそうです）,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可,"35.67481423872029,139.7670161843192",03-3562-7890,東京都中央区銀座1-5-14 銀座コシミオンビル 1階,399,False,35.67481423872029,139.7670161843192
食べログ 寿司 TOKYO 百名店 2022 選出店,鮨竹,銀座駅 308m , 寿司,,"￥20,000～￥29,999","￥20,000～￥29,999",3.76,水曜日,https://tabelog.com/tokyo/A1301/A130101/13169506/,予約可,,銀座駅B3出口より徒歩5分 銀座駅から308m,11:30 - 14:00L.O. 12:30,■ 定休日祝日の月曜日,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"35.66977573872187,139.76194618427186",03-6228-5007,東京都中央区銀座7-6-5 石井紀州屋ビル 4F,253,False,35.66977573872187,139.76194618427186
,佐野鮨,芝公園駅 265m , 寿司,,"￥20,000～￥29,999","￥20,000～￥29,999",3.76,-,https://tabelog.com/tokyo/A1314/A131401/13290845/,予約可,予約は電話またはInstagramのDM,都営三田線 芝公園Ａ１出口から徒歩２分 芝公園駅から265m,,,カード可 電子マネー不可 QRコード決済不可,"35.651528238729874,139.75069378409543",03-6453-9666,東京都港区芝2-18-9 1F,113,False,35.651528238729874,139.75069378409543
,戸越銀座 鮨 ばんど,戸越銀座駅 498m , 寿司、日本料理、海鮮,電波回線が悪く電話が繋がない状態があり申し訳ございません。,"￥15,000～￥19,999","￥15,000～￥19,999",3.76,,https://tabelog.com/tokyo/A1317/A131712/13255116/,予約可,貸切は8名様以上で承っております。,東急池上線／戸越銀座駅(出入口2) 徒歩7分（540m）都営浅草線／戸越駅(A3) 徒歩8分（580m）東急目黒線／不動前駅 徒歩9分（680m）JR 五反田駅・大崎駅 徒歩10～15分東急バス東急バス・東急トランセ 渋72 荏原一 徒歩1分（86m） 戸越銀座駅から498m,11:30 - 14:00,■ 定休日不定休,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"35.620381390962834,139.71599962939362",03-6431-8668,東京都品川区西五反田6-22-11 1F,112,True,35.620381390962834,139.71599962939362
食べログ 寿司 TOKYO 百名店 2022 選出店,さき田,三鷹市 , 寿司,,"￥15,000～￥19,999","￥15,000～￥19,999",3.76,-,https://tabelog.com/tokyo/A1320/A132001/13216828/,完全予約制,,"吉祥寺より、バスで下連雀下車1分 井の頭公園駅から1,396m",,,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"35.691549738646756,139.5695254846267",0422-71-3133,東京都三鷹市下連雀1-9-17 Kビル 1F,104,False,35.691549738646756,139.5695254846267
,鮨 波やし,高円寺駅 156m , 寿司,,"￥10,000～￥14,999","￥10,000～￥14,999",3.76,-,https://tabelog.com/tokyo/A1319/A131904/13238504/,予約可,,高円寺駅から156m,,,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"35.70669423866282,139.6501849847231",不明の為情報お待ちしております,東京都杉並区高円寺北2-7-11 ,103,True,35.70669423866282,139.6501849847231
,鮨 祥,乃木坂駅 734m , 寿司,,"￥30,000～￥39,999","￥30,000～￥39,999",3.76,-,https://tabelog.com/tokyo/A1306/A130602/13261175/,完全予約制,ご予約時にお苦手な食材、食べ物アレルギーなどをお知らせください。 ご予約時にお申し出のない場合は、当日変更が出来ない場合がございます。,地下鉄銀座線表参道駅 A4番出口 徒歩10分地下鉄半蔵門線表参道駅 A4番出口 徒歩10分地下鉄千代田線表参道駅 A4番出口 徒歩10分地下鉄千代田線乃木坂駅 5番出口 徒歩10分 乃木坂駅から734m,,,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可,"35.66164433871399,139.72098788421846",03-6427-3237,東京都港区西麻布2-15-1 三澤ビル B1F,94,True,35.66164433871399,139.72098788421846
,寺子屋 すし匠,神谷町駅 187m , 寿司,,"￥40,000～￥49,999","￥40,000～￥49,999",3.76,日曜日、祝日,https://tabelog.com/tokyo/A1307/A130704/13291238/,完全予約制,,東京メトロ日比谷線 神谷町駅 5番出口 直結 神谷町駅から187m,,,カード可 電子マネー可 QRコード決済可,"35.66193709040757,139.74329259110075",03-6450-1023,東京都港区虎ノ門5-9-1 麻布台ヒルズ ガーデンプラザB 1F,67,False,35.66193709040757,139.74329259110075
食べログ 寿司 TOKYO 百名店 2022 選出店,不動前 すし 岩澤,不動前駅 370m , 寿司,11月29日(金)前半のお時間で2席空席ございます。,"￥20,000～￥29,999","￥20,000～￥29,999",3.75,水曜日,https://tabelog.com/tokyo/A1317/A131710/13193460/,予約可,,駅からのアクセス東急目黒線 ／ 不動前駅 徒歩6分（450m）JR山手線 ／ 五反田駅(a2) 徒歩9分（670m）東急池上線 ／ 五反田駅(a2) 徒歩9分（670m 不動前駅から370m,17:30 - 23:00,■ 定休日祝日の月曜日,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"35.624228497096794,139.71700853514298",03-5436-8338,東京都品川区西五反田5-6-11 NSVビル 1F,265,False,35.624228497096794,139.71700853514298
,一宇,飯田橋駅 329m , 日本料理、寿司,神楽坂の路地裏に佇む上質な和空間。旬の味覚を用いて工夫を凝らした逸品と厳選銘酒に舌鼓を打つ,"￥20,000～￥29,999","￥20,000～￥29,999",3.75,月曜日,https://tabelog.com/tokyo/A1309/A130905/13268887/,予約可,遅れる際はご一報ください当日キャンセルはキャンセル料が発生すると思います,飯田橋駅から地下鉄B3徒歩2分JR飯田橋駅から徒歩5分神楽坂駅から徒歩8分 飯田橋駅から329m,18:00 - 23:00,■ 定休日不定休,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"35.70046013869573,139.74105638459645",03-6280-7047,東京都新宿区神楽坂2-22 1F,81,True,35.70046013869573,139.74105638459645
食べログ 寿司 TOKYO 百名店 2022 選出店,江戸前鮓 すし通,六本木駅 516m , 寿司、海鮮,心地よい余韻を残す、端正な握り、細やかな心配りで魅せる正統派熟成鮨,"￥30,000～￥39,999","￥30,000～￥39,999",3.74,,https://tabelog.com/tokyo/A1307/A130701/13061640/,予約可,"海外のお客様のご予約は、当サイトではお受けいたしかねます。Table Checkからのご予約をお待ちしております。We don't accept reservations from overseas guest through this site.Please boking through ""Table Check""",六本木駅1c出口より徒歩8分大江戸線六本木駅からは、徒歩２０分 六本木駅から516m,11:30 - 12:00,■ 営業時間【昼】予約可能時間：11:30～12:00【夜】予約可能時間：18:00～20:30・２ヶ月前から受け付けております。・ネット予約の際はカウンター、もしくは個室の選択をお願いいたします。選択されない場合、ご希望に添えないことがございます。・営業中はお電話が繋がりにくくなっております。,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"35.660104138716726,139.72650808419903",03-3404-2622,東京都港区西麻布3-1-15 RFビルB1F,584,False,35.660104138716726,139.72650808419903
食べログ 寿司 TOKYO 百名店 2022 選出店,鮨 利﨑,代々木公園駅 644m , 寿司、海鮮,今話題の“奥渋”エリアで美食家たちを唸らせる注目の寿司屋。気鋭の職人による自在な握りに舌鼓,"￥20,000～￥29,999","￥20,000～￥29,999",3.74,,https://tabelog.com/tokyo/A1303/A130301/13235258/,予約可,■ご予約を当日にキャンセルされた場合、下記の料金を頂戴いたします。何卒、よろしくお願いいたします。当日キャンセル : コース料金の100%前日キャンセル : コース料金の50%■お子様が同伴される場合は、1人前のコースが食べられる場合のみ可とさせていただきます。,※Google map ですと裏口に案内されてしまいます。　宇田川遊歩道沿いが正面入口となります。渋谷駅より徒歩13分代々木公園駅より徒歩9分 神泉駅より徒歩12分 代々木公園駅から644m,18:00 - 23:00,■ 営業時間２部制となります（２時間半制）【第１部】18:00～20:30【第2部】20:30～23:00,カード可 電子マネー不可 QRコード決済不可,"35.66416683870377,139.6939259842629",03-5738-8293,東京都渋谷区神山町8-2 ,357,False,35.66416683870377,139.6939259842629
,紀文寿司,浅草（東武・都営・メトロ）駅 211m , 寿司,,-,-,3.74,-,https://tabelog.com/tokyo/A1311/A131102/13016811/,予約可,,東京メトロ銀座線、東武伊勢崎線　浅草駅　徒歩２分都営地下鉄浅草線　浅草駅　徒歩４分つくばエクスプレス　浅草駅　徒歩５分 浅草駅（東武・都営・メトロ）から211m,,,カード可 （VISA、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"35.711589338705984,139.79546288467074",03-3841-0984,東京都台東区浅草1-17-10 ,256,False,35.711589338705984,139.79546288467074
食べログ 寿司 TOKYO 百名店 2022 選出店,すし岩瀬,都庁前駅 501m , 寿司,,"￥20,000～￥29,999","￥20,000～￥29,999",3.74,月曜日,https://tabelog.com/tokyo/A1304/A130401/13146391/,予約可,,都庁前駅から501m,15:00 - 21:30,■ 定休日第1・第3日曜日他 夏季・年末年始,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"35.686096438689404,139.69256248448534",03-6279-0149,東京都新宿区西新宿3-4-1 福地ビル 1F,199,True,35.686096438689404,139.69256248448534
,小笹寿し,下北沢駅 647m , 寿司,,"￥10,000～￥14,999","￥10,000～￥14,999",3.74,-,https://tabelog.com/tokyo/A1318/A131802/13001397/,予約不可,,下北沢駅から647m,,,カード不可 電子マネー不可 QRコード決済不可,"35.655734938701,139.66844278419558",03-3413-0488,東京都世田谷区代沢3-7-10 ,110,False,35.655734938701,139.66844278419558
,鮨 むらやま,銀座駅 282m , 寿司,,"￥40,000～￥49,999","￥40,000～￥49,999",3.74,-,https://tabelog.com/tokyo/A1301/A130101/13287621/,予約可,,銀座駅から282m,,,カード可 電子マネー不可 QRコード決済可 （d払い）,"35.66991412200624,139.7621929569097",03-6263-8295,東京都中央区銀座7-6-2 銀座門ビル 7F,91,False,35.66991412200624,139.7621929569097
,仲野,渋谷駅 500m , 寿司,,"￥30,000～￥39,999","￥30,000～￥39,999",3.74,-,https://tabelog.com/tokyo/A1303/A130301/13268768/,完全予約制,※必ずご予約者ご本人様がご来店くださいますようお願い致します。ご本人様以外の方のご来店はキャンセル扱いとさせていただきますので予めご了承ください。※広範囲なアレルギーや苦手な食材がある場合、ご予約をお断りする可能性がございます。予めご了承ください。※当日のキャンセルはキャンセル料としてコース料金100%のお支払いをお願いしております。,渋谷駅から徒歩7分表参道駅から徒歩10分 渋谷駅から500m,,,カード可 （AMEX） 電子マネー不可 QRコード決済可,"35.661094338709496,139.70579638422356",03-5774-1196,東京都渋谷区渋谷1-5-9 ,83,False,35.661094338709496,139.70579638422356
,鮨 梢,高輪台駅 257m , 寿司,,"￥30,000～￥39,999","￥30,000～￥39,999",3.74,-,https://tabelog.com/tokyo/A1316/A131603/13263453/,完全予約制,鮨梢Instagramより予約可能。,都営浅草線　高輪台駅より5分JR山手線　品川駅より10分 高輪台駅から257m,,,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"35.63341723873554,139.73237148392536",080-6519-6623,東京都港区高輪3-6-12 ブレアハウス,83,False,35.63341723873554,139.73237148392536
食べログ 寿司 TOKYO 百名店 2022 選出店,寿し処 寿々,溜池山王駅 171m , 寿司,銀座で練磨を重ねた実力派が魅せる、極上の握り。鮮魚と日本酒が織りなす、粋な味わいを楽しむ,"￥20,000～￥29,999","￥20,000～￥29,999",3.73,,https://tabelog.com/tokyo/A1308/A130802/13024464/,予約可,特になし,溜池山王駅11番出口徒歩1分 溜池山王駅から171m,,,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"35.6711269387144,139.7412430843",03-3586-1010,東京都港区赤坂2-9-4 １Ｆ,620,False,35.6711269387144,139.7412430843
